Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
02/03/2009;0;28.53;-0.34;-0.09;3.13;-262;0;0.039;-0.16;134;0;0;0;0;0;0;0;0;1;0;0;0;0;0
03/03/2009;0;27.26;0.32;-1.05;-1948.62;-121;0;0.059;-4.14;51;42;0;0;1;1;0;0;0;1;0;1;0;0;0
04/03/2009;1;30.02;0.84;-0.17;232.87;161;0;-0.032;1.49;34;0;0;0;1;0;0;0;0;1;0;0;0;0;0
05/03/2009;0;38.36;-0.44;1.2;1934.68;-199;0;-0.05;2.42;94;14;0;0;0;1;1;0;0;0;1;0;0;0;0
06/03/2009;0;24.54;0.2;-0.29;-1033.31;43;0;0.023;-2.48;34;14;0;0;0;0;0;0;0;0;0;0;0;0;0
09/03/2009;1;32.3;-0.39;-0.25;-263.84;-146;0;-0.015;1.21;56;23;0;0;1;0;0;1;0;0;0;0;0;0;0
10/03/2009;1;26.68;0.51;0.03;-363.74;359;0;0.01;-0.72;17;14;0;0;0;0;0;1;0;0;0;0;0;0;0
11/03/2009;1;34.14;0.18;1.04;2053.2;27;0;-0.055;-0.17;66;23;0;1;0;1;0;0;0;0;0;1;0;0;0
12/03/2009;1;24.95;0.05;0.11;10.25;254;-1.5;0.011;-2.56;41;0;0;1;0;0;1;0;1;0;0;1;0;0;0
13/03/2009;1;30.16;0.26;0.26;347.06;64;0;-0.047;3.69;50;0;0;1;0;0;1;0;1;0;0;0;0;0;0
